Participant,Block Design Raw Score,Step,Chest Distance,HeadCamera Distance,LeftElbow Distance,LeftShoulder Distance,MotionControllerLeft Distance,MotionControllerRight Distance,RightElbow Distance,RightShoulder Distance
C012,54,Add apples to pan,722.269516292335,876.952733122523,1281.9254624583473,994.3616018651632,1805.5564974104884,3998.86114085115,2327.1166452620223,1475.8841957293193
C012,54,Add bottom crust,219.51568494677113,189.72751244122898,258.7292023716342,490.8964232432673,296.33853859913165,567.2853515379188,304.54123129004245,231.7765244123825
C012,54,Add butter,219.75405971585877,277.79074924119266,462.2631517214198,362.5074671807631,559.5338694077138,718.9261584193389,541.175049694645,359.3589992387599
C012,54,Add cinnamon,206.19470731368006,239.53060476997004,267.2368724322158,221.27418428596368,218.69738803567816,806.8631615641992,560.7810511494318,358.1666670392071
C012,54,Add crust top,295.47592823415937,313.92234088643306,774.9688752743232,520.1933618531797,824.4030492388242,751.6407423433714,641.5363695997344,440.3781175402149
C012,54,Add water,175.35486871741315,196.0120465450322,297.6808352719592,225.14157017939843,401.26409761786476,323.61131979596024,249.1910765457678,209.8279203722176
C012,54,Post last step,506.2401693853615,486.6211317201862,611.5957658317288,497.0255396135823,717.0863024819304,1006.4203777830927,760.6828926711453,575.9373122675104
C012,54,Pour syrup,118.6256078690446,152.79092422612504,164.97879906888676,131.64689997241987,142.91245757372604,397.1345305100687,320.450419139664,210.55106290199188
C012,54,Put pie in oven,356.43995140231425,520.1279530509963,723.208581709813,1187.8157471690893,726.6408573866697,999.1740142483432,842.4908627352208,653.5295762938956
C012,54,Stir bowl,971.8973517448574,1129.9976819840067,1270.7736562415057,1043.1992303159523,1535.8562658558224,3572.3645184995694,2467.7301761941376,1682.4319395867997
C013,48,Add Sugar ,533.9012160408487,687.6700715207342,1109.7400234836482,854.2683218065458,1319.6875478273457,665.341140161353,552.2663414414216,566.4294849471754
C013,48,Add apples to pan,2371.1141325800404,2803.826064115184,3753.1087663617336,3354.837483600767,4728.5989110764085,5798.915955314648,4207.2818843325485,3285.004349226235
C013,48,Add bottom crust,219.99714744780604,289.4616521255859,565.6858355287482,428.80197608402403,753.5853110086288,526.4899913229282,378.42720604714304,299.1960051652492
C013,48,Add butter,267.877842471568,351.33837317195264,390.9640802097847,332.35557147512213,502.9442506699091,757.7580248373081,542.3575261760396,407.9481276579752
C013,48,Add cinnamon,471.8758518256626,538.6852162408444,547.9414387989477,515.6476516221107,672.6238747724763,851.6950932592267,742.5808991217339,627.2207041692177
C013,48,Add crust top,339.4467260011653,380.69947770265287,372.4945422115993,383.6654009317674,448.36431688673235,642.754632765981,529.3798430798972,432.26512001276404
C013,48,Add water,170.8836738423724,209.34189688721605,394.66326738121074,292.82426009957965,557.4707607000063,367.73950299631406,292.078649996564,243.9003486940585
C013,48,Post last step,760.5651588985595,1024.384600888523,1036.6135144358173,893.5666984001803,1257.4434811209453,1507.762537559739,1198.7586955266613,1017.6260487541185
C013,48,Pour syrup,216.89121818059542,265.62086781169785,293.1550470107497,266.0671933918328,319.38961373635385,464.9791914460992,395.5094512741668,321.38572100962006
C013,48,Put pie in oven,499.46023927469196,581.0579589850029,800.6242369908774,696.5799451011525,940.6539100698026,705.8200804385208,553.6203207575236,511.2717708565508
C013,48,Stir bowl,667.5409917067232,787.979694573787,955.2269953189143,856.0632820165887,1199.6845474778738,1162.7690941858154,904.1677671660786,785.8212693951646
C016,39,Add Sugar ,1613.4316263039705,1376.8320932911756,1399.2727910111457,1344.8560564861468,1664.5961313233813,2145.6615254847397,1743.9526828525147,1356.8916776563221
C016,39,Add apples to pan,1159.6594731900043,1743.6788605653383,2539.534217278978,2253.539045359574,3095.5851485295225,3733.0266614271436,2765.896671270234,2106.291680439931
